timestamp,id,duration,billed,memory,memUsed,init,logStreamName
1670193927004,1084957d-f1b5-4e1c-9f0b-736964ef3f94,95.41,96,3008,90,363.01,2022/12/04/[1]3f2b8f707bf444f3ae1620b6386f8cc1
1670197526804,da954986-9a88-4446-88e7-dedba043e7e4,89.70,90,3008,90,316.09,2022/12/04/[1]d4232ed7bcd848069bfe8e3536661297
1670201127183,9b44b50a-cd08-47c5-abd6-722f3ef4b8e4,91.69,92,3008,90,310.21,2022/12/05/[1]556361810858456dbb0919dd5a764564
1670204727212,8a9cc935-faf4-4126-8c16-7b8403895b33,94.50,95,3008,90,322.06,2022/12/05/[1]b5d06fccc020486490e29e0862271cfc
1670208327235,b2bcb0a5-ff9b-4dc5-9449-cf7940ca13f9,91.14,92,3008,90,316.07,2022/12/05/[1]f37931fc5b0846c9bc3911c5b3b622c0
1670211927246,ccc3c5f5-831d-445a-ae23-d24f33f33690,90.05,91,3008,90,320.12,2022/12/05/[1]4342edd5fa314adb8de46b7960214e0d
1670215527042,fb316e4b-18d6-416b-9509-791f3a63ad49,92.14,93,3008,90,330.01,2022/12/05/[1]f4575bd65d8b448c860e627fdb94d59a
1670219127146,b7c3c223-bba8-482d-a1fe-e5035d86f13d,89.84,90,3008,90,331.77,2022/12/05/[1]c49d8d227ad24cbb999b6b6a3dc38a22
1670222726836,ce69a1c6-5211-4950-8fc3-5e62efb06a2d,100.79,101,3008,90,333.66,2022/12/05/[1]73ef766a48a349a289c8799f4df0ba32
1670226327064,8d5c0610-d377-488b-b2b9-98e619b7998a,93.09,94,3008,90,316.27,2022/12/05/[1]6899c73b3ce84fe9acf492b49b4b7b5f
1670229927127,933624c3-af57-4649-b3a9-137523b4abfb,89.20,90,3008,90,319.73,2022/12/05/[1]0a17c23a37414d51a7f55f55efb09f3b
1670233527044,57e67e0c-b53f-4678-b5b9-1bd436e5f8d8,94.91,95,3008,90,315.19,2022/12/05/[1]5f6fd826dd974514be994059bf4e3ee1
